iter	RMSE
0	14.61268541
1	14.23196558
2	13.86674177
3	13.49946468
4	13.16661202
5	12.85632158
6	12.56784336
7	12.31617801
8	12.01509946
9	11.71512571
10	11.43264457
11	11.17973129
12	10.93746433
13	10.69387075
14	10.4615922
15	10.2299235
16	10.01419731
17	9.795856918
18	9.60040151
19	9.418664989
20	9.249278645
21	9.090113396
22	8.909548708
23	8.740140208
24	8.59377682
25	8.453885414
26	8.317732234
27	8.180896085
28	8.053220863
29	7.924234474
30	7.818879511
31	7.719346395
32	7.624163594
33	7.524952543
34	7.424464745
35	7.327482321
36	7.238666841
37	7.158842395
38	7.074348246
39	6.992269093
40	6.925219745
41	6.86013671
42	6.786739622
43	6.73057926
44	6.666356486
45	6.606182832
46	6.547854615
47	6.49240675
48	6.431317261
49	6.377586395
50	6.327558015
51	6.282040317
52	6.237655841
53	6.192792003
54	6.150579347
55	6.115693845
56	6.078780782
57	6.045146957
58	6.008080327
59	5.977575734
60	5.948036502
61	5.914888282
62	5.884957796
63	5.849539885
64	5.821387627
65	5.797012279
66	5.768685095
67	5.755484587
68	5.731887055
69	5.707148487
70	5.685365039
71	5.663541834
72	5.638108797
73	5.619204893
74	5.598472793
75	5.577007075
76	5.562637084
77	5.54729991
78	5.530737623
79	5.513704873
80	5.501575529
81	5.484080734
82	5.472178894
83	5.458923342
84	5.451382371
85	5.441410748
86	5.434047468
87	5.422107497
88	5.40731265
89	5.396360181
90	5.383793239
91	5.369605034
92	5.357467333
93	5.341109968
94	5.330529276
95	5.319862075
96	5.313052243
97	5.299677207
98	5.287546698
99	5.279803754
100	5.272254612
101	5.268813888
102	5.258113767
103	5.251018576
104	5.24171237
105	5.233984943
