iter	Passed	Remaining
0	1	1073
1	1	979
2	2	906
3	3	884
4	4	882
5	5	840
6	5	808
7	6	786
8	7	779
9	7	770
10	8	761
11	9	751
12	9	741
13	10	740
14	11	734
15	11	728
16	12	722
17	13	730
18	14	737
19	15	748
20	16	758
21	17	758
22	17	760
23	18	758
24	19	756
25	20	753
26	20	751
27	21	749
28	22	747
29	22	742
30	23	739
31	24	737
32	25	733
33	25	728
34	26	725
35	26	722
36	27	720
37	28	726
38	29	729
39	30	730
40	31	732
41	32	731
42	32	730
43	33	731
44	34	730
45	35	728
46	35	724
47	36	721
48	37	718
49	37	714
50	38	711
51	38	709
52	39	707
53	40	707
54	41	705
55	41	702
56	42	702
57	43	705
58	44	706
59	45	706
60	45	707
61	46	706
62	47	704
63	48	702
64	48	699
65	49	698
66	49	696
67	50	695
68	51	694
69	52	692
70	52	691
71	53	689
72	54	687
73	54	686
74	55	686
75	56	684
76	56	682
77	57	684
78	58	687
79	59	689
80	60	691
81	61	693
82	62	690
83	63	690
84	64	691
85	65	692
86	65	692
87	66	692
88	67	691
89	68	690
90	69	697
91	70	698
92	71	697
93	72	701
94	73	703
95	74	704
96	75	702
97	76	701
98	76	699
99	77	698
100	78	697
101	79	695
102	79	694
103	80	692
104	81	690
105	81	689
106	82	689
107	83	689
108	84	690
109	85	690
110	86	689
111	87	692
112	88	693
113	89	692
114	89	692
115	90	692
116	91	691
117	92	691
118	93	690
119	93	688
120	94	687
121	95	685
122	96	685
123	96	684
124	97	683
125	98	681
126	98	679
127	99	679
128	100	678
129	101	677
130	102	678
131	103	678
132	104	678
133	104	677
134	105	676
135	106	675
136	107	674
137	107	673
138	108	672
139	109	672
140	110	671
141	110	668
142	111	667
143	112	666
144	112	665
145	113	663
146	114	662
147	114	661
148	115	660
149	116	661
150	117	661
151	118	660
152	119	660
153	120	659
154	120	658
155	121	657
156	122	656
157	122	654
158	123	653
159	124	652
160	124	650
161	125	649
162	126	647
163	126	647
164	127	646
165	128	645
166	129	644
167	129	643
168	130	643
169	131	644
170	132	644
171	133	643
172	134	643
173	135	642
174	136	643
175	137	643
176	138	643
177	139	642
178	139	641
179	140	641
180	141	640
181	142	639
182	142	638
183	143	637
184	144	635
185	145	635
186	146	635
187	147	635
188	147	634
189	148	633
190	149	633
191	150	632
192	150	631
193	151	630
194	152	628
195	153	627
196	153	627
197	154	626
198	155	625
199	156	624
200	156	623
201	157	622
202	158	621
203	158	620
204	159	619
205	160	620
206	161	620
207	162	619
208	163	618
209	164	618
210	165	617
211	165	615
212	166	614
213	167	613
214	167	612
215	168	611
216	169	610
217	169	609
218	170	608
219	171	607
220	171	605
221	172	605
222	173	603
223	174	602
224	174	602
225	175	602
226	176	601
227	177	600
228	178	600
229	179	599
230	180	599
231	180	598
232	181	598
233	182	597
234	183	596
235	183	595
236	184	594
237	185	592
238	185	591
239	186	590
240	187	589
241	187	588
242	188	587
243	189	586
244	190	587
245	191	587
246	192	587
247	193	586
248	194	586
249	195	585
250	195	584
251	196	583
252	197	582
253	197	581
254	198	580
255	199	579
256	200	578
257	200	577
258	201	576
259	202	575
260	202	574
261	203	573
262	204	573
263	205	572
264	206	572
265	207	571
266	207	570
267	208	569
268	209	569
269	210	568
270	210	567
271	211	566
272	212	565
273	213	564
274	213	563
275	214	562
276	215	562
277	216	561
278	216	560
279	217	559
280	218	559
281	219	559
282	220	558
283	221	557
284	221	556
285	222	556
286	223	555
287	224	554
288	224	553
289	225	552
290	226	551
291	227	550
292	227	549
293	228	548
294	229	547
295	229	546
296	230	545
297	231	544
298	232	543
299	233	543
300	233	543
301	234	542
302	235	541
303	236	541
304	237	540
305	238	539
306	238	539
307	239	538
308	240	537
309	241	536
310	241	535
311	242	534
312	243	533
313	243	532
314	244	531
315	245	530
316	245	529
317	246	529
318	247	528
319	248	527
320	249	527
321	250	526
322	250	525
323	251	524
324	252	523
325	253	523
326	253	522
327	254	521
328	255	520
329	256	519
330	256	519
331	257	518
332	258	517
333	259	516
334	259	516
335	260	515
336	261	514
337	262	514
338	263	513
339	264	512
340	264	511
341	265	511
342	266	510
343	267	509
344	268	509
345	269	508
346	269	507
347	270	506
348	271	505
349	271	505
350	272	504
351	273	503
352	274	502
353	274	501
354	275	500
355	276	499
356	277	498
357	278	498
358	278	497
359	279	497
360	280	496
361	281	496
362	282	495
363	282	494
364	283	493
365	284	492
366	285	491
367	285	490
368	286	489
369	287	490
370	288	489
371	289	488
372	290	487
373	290	486
374	291	486
375	292	485
376	293	485
377	294	484
378	295	483
379	295	482
380	296	481
381	297	480
382	297	479
383	298	479
384	299	478
385	300	477
386	300	476
387	301	475
388	302	474
389	302	473
390	303	473
391	304	472
392	305	471
393	306	471
394	307	471
395	308	470
396	309	469
397	309	468
398	310	467
399	311	467
400	312	466
401	312	465
402	313	464
403	314	463
404	315	462
405	315	462
406	316	461
407	317	460
408	318	459
409	318	458
410	319	457
411	320	456
412	321	456
413	321	455
414	322	455
415	323	454
416	324	453
417	325	452
418	326	452
419	326	451
420	327	450
421	328	449
422	328	448
423	329	447
424	330	447
425	331	446
426	332	445
427	332	444
428	333	443
429	334	442
430	334	441
431	335	441
432	336	441
433	337	440
434	338	439
435	339	438
436	339	437
437	340	437
438	341	436
439	342	435
440	342	434
441	343	433
442	344	432
443	345	432
444	345	431
445	346	430
446	347	429
447	348	428
448	348	427
449	349	426
450	350	426
451	351	425
452	351	424
453	352	423
454	353	423
455	354	422
456	354	421
457	355	420
458	356	420
459	357	419
460	357	418
461	358	417
462	359	416
463	360	416
464	360	415
465	361	414
466	362	413
467	363	412
468	363	411
469	364	411
470	365	410
471	366	410
472	367	409
473	368	408
474	368	407
475	369	406
476	370	405
477	370	405
478	371	404
479	372	403
480	373	402
481	373	401
482	374	400
483	375	400
484	376	399
485	376	398
486	377	397
487	378	396
488	378	395
489	379	395
490	380	394
491	381	393
492	382	393
493	382	392
494	383	391
495	384	390
496	385	389
497	386	389
498	386	388
499	387	387
500	388	386
501	389	385
502	389	385
503	390	384
504	391	383
505	391	382
506	392	381
507	393	380
508	394	380
509	395	379
510	396	378
511	396	378
512	397	377
513	398	376
514	399	375
515	399	375
516	400	374
517	401	373
518	402	372
519	402	371
520	403	371
521	404	370
522	404	369
523	405	368
524	406	367
525	407	366
526	407	365
527	408	365
528	409	364
529	410	363
530	411	363
531	411	362
532	412	361
533	413	360
534	414	360
535	415	359
536	415	358
537	416	357
538	417	356
539	417	355
540	418	355
541	419	354
542	419	353
543	420	352
544	421	351
545	422	350
546	422	350
547	423	349
548	424	348
549	425	348
550	426	347
551	427	346
552	427	345
553	428	345
554	429	344
555	430	343
556	430	342
557	431	341
558	432	341
559	433	340
560	433	339
561	434	338
562	435	337
563	435	336
564	436	336
565	437	335
566	438	334
567	439	333
568	440	333
569	440	332
570	441	331
571	442	331
572	443	330
573	443	329
574	444	328
575	445	327
576	445	326
577	446	326
578	447	325
579	447	324
580	448	323
581	449	322
582	449	321
583	450	321
584	451	320
585	452	319
586	452	318
587	454	318
588	454	317
589	455	316
590	456	315
591	457	315
592	457	314
593	458	313
594	459	312
595	459	311
596	460	310
597	461	310
598	462	309
599	462	308
600	463	307
601	464	306
602	464	305
603	465	305
604	466	304
605	466	303
606	467	302
607	468	302
608	469	301
609	470	300
610	471	299
611	471	299
612	472	298
613	473	297
614	474	296
615	474	296
616	475	295
617	476	294
618	476	293
619	477	292
620	478	291
621	479	291
622	479	290
623	480	289
624	481	288
625	482	288
626	483	287
627	484	287
628	485	286
629	486	285
630	486	284
631	487	283
632	488	283
633	488	282
634	489	281
635	490	280
636	490	279
637	491	278
638	492	278
639	493	277
640	493	276
641	494	275
642	495	275
643	496	274
644	497	273
645	497	272
646	498	272
647	499	271
648	500	270
649	501	269
650	501	269
651	502	268
652	503	267
653	503	266
654	504	265
655	505	265
656	506	264
657	506	263
658	507	262
659	508	261
660	509	261
661	510	260
662	510	259
663	511	258
664	513	258
665	513	257
666	514	256
667	515	256
668	515	255
669	516	254
670	517	253
671	518	252
672	518	252
673	519	251
674	520	250
675	520	249
676	521	248
677	522	248
678	523	247
679	523	246
680	524	245
681	525	244
682	526	244
683	527	243
684	527	242
685	529	242
686	530	241
687	531	240
688	531	240
689	532	239
690	533	238
691	534	237
692	534	237
693	536	236
694	537	236
695	538	235
696	539	234
697	541	234
698	542	233
699	542	232
700	543	231
701	544	231
702	545	230
703	545	229
704	546	228
705	547	227
706	548	227
707	549	226
708	549	225
709	550	224
710	551	224
711	552	223
712	552	222
713	554	222
714	555	221
715	556	220
716	556	219
717	557	219
